Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
CUST001,39,1,150.0,5,1,3,513,Regular Customers
CUST002,309,1,1000.0,1,1,4,114,At Risk
CUST003,354,1,30.0,1,1,1,111,At Risk
CUST004,226,1,500.0,2,1,4,214,At Risk
CUST005,241,1,100.0,2,1,2,212,At Risk
CUST006,252,1,30.0,2,1,1,211,At Risk
CUST007,295,1,50.0,1,1,1,111,At Risk
CUST008,314,1,100.0,1,1,2,112,At Risk
CUST009,20,1,600.0,5,1,4,514,Regular Customers
CUST010,87,1,200.0,4,1,3,413,Regular Customers
CUST011,322,1,100.0,1,1,2,112,At Risk
CUST012,64,1,75.0,5,1,2,512,Regular Customers
CUST013,150,1,1500.0,3,1,5,315,Regular Customers
CUST014,350,1,120.0,1,1,3,113,At Risk
CUST015,351,1,2000.0,1,1,5,115,At Risk
CUST016,319,1,1500.0,1,1,5,115,At Risk
CUST017,255,1,100.0,2,1,2,212,At Risk
CUST018,247,1,50.0,2,1,1,211,At Risk
CUST019,108,1,50.0,4,1,1,411,Regular Customers
CUST020,58,1,900.0,5,1,4,514,Regular Customers
CUST021,353,1,500.0,1,1,4,114,At Risk
CUST022,79,1,100.0,4,1,2,412,Regular Customers
CUST023,265,1,120.0,2,1,3,213,At Risk
CUST024,34,1,300.0,5,1,4,514,Regular Customers
CUST025,7,1,50.0,5,1,1,511,Regular Customers
CUST026,87,1,1000.0,4,1,4,414,Regular Customers
CUST027,152,1,50.0,3,1,1,311,Regular Customers
CUST028,254,1,500.0,2,1,4,214,At Risk
CUST029,137,1,30.0,4,1,1,411,Regular Customers
CUST030,65,1,900.0,5,1,4,514,Regular Customers
CUST031,224,1,1200.0,3,1,5,315,Regular Customers
CUST032,363,1,90.0,1,1,2,112,At Risk
CUST033,285,1,100.0,2,1,2,212,At Risk
CUST034,9,1,150.0,5,1,3,513,Regular Customers
CUST035,150,1,900.0,3,1,4,314,Regular Customers
CUST036,192,1,900.0,3,1,4,314,Regular Customers
CUST037,224,1,75.0,3,1,2,312,Regular Customers
CUST038,287,1,200.0,2,1,3,213,At Risk
CUST039,256,1,120.0,2,1,3,213,At Risk
CUST040,194,1,50.0,3,1,1,311,Regular Customers
CUST041,314,1,50.0,1,1,1,111,At Risk
CUST042,319,1,900.0,1,1,4,114,At Risk
CUST043,172,1,300.0,3,1,4,314,Regular Customers
CUST044,317,1,25.0,1,1,1,111,At Risk
CUST045,183,1,30.0,3,1,1,311,Regular Customers
CUST046,190,1,1200.0,3,1,5,315,Regular Customers
CUST047,57,1,1500.0,5,1,5,515,Regular Customers
CUST048,231,1,900.0,2,1,4,214,At Risk
CUST049,344,1,1000.0,1,1,4,114,At Risk
CUST050,131,1,75.0,4,1,2,412,Regular Customers
CUST051,92,1,75.0,4,1,2,412,Regular Customers
CUST052,303,1,300.0,1,1,4,114,At Risk
CUST053,173,1,100.0,3,1,2,312,Regular Customers
CUST054,326,1,1500.0,1,1,5,115,At Risk
CUST055,84,1,120.0,4,1,3,413,Regular Customers
CUST056,216,1,900.0,3,1,4,314,Regular Customers
CUST057,45,1,30.0,5,1,1,511,Regular Customers
CUST058,50,1,1200.0,5,1,5,515,Regular Customers
CUST059,181,1,50.0,3,1,1,311,Regular Customers
CUST060,71,1,150.0,5,1,3,513,Regular Customers
CUST061,268,1,200.0,2,1,3,213,At Risk
CUST062,6,1,100.0,5,1,2,512,Regular Customers
CUST063,331,1,50.0,1,1,1,111,At Risk
CUST064,343,1,100.0,1,1,2,112,At Risk
CUST065,28,1,2000.0,5,1,5,515,Regular Customers
CUST066,250,1,30.0,2,1,1,211,At Risk
CUST067,218,1,1200.0,3,1,5,315,Regular Customers
CUST068,326,1,300.0,1,1,4,114,At Risk
CUST069,247,1,75.0,2,1,2,212,At Risk
CUST070,315,1,300.0,1,1,4,114,At Risk
CUST071,172,1,100.0,3,1,2,312,Regular Customers
CUST072,224,1,2000.0,3,1,5,315,Regular Customers
CUST073,134,1,90.0,4,1,2,412,Regular Customers
CUST074,41,1,2000.0,5,1,5,515,Regular Customers
CUST075,180,1,200.0,3,1,3,313,Regular Customers
CUST076,283,1,100.0,2,1,2,212,At Risk
CUST077,177,1,100.0,3,1,2,312,Regular Customers
CUST078,185,1,1500.0,3,1,5,315,Regular Customers
CUST079,259,1,300.0,2,1,4,214,At Risk
CUST080,23,1,60.0,5,1,2,512,Regular Customers
CUST081,230,1,50.0,2,1,1,211,At Risk
CUST082,7,1,200.0,5,1,3,513,Regular Customers
CUST083,17,1,100.0,5,1,2,512,Regular Customers
CUST084,35,1,90.0,5,1,2,512,Regular Customers
CUST085,330,1,150.0,1,1,3,113,At Risk
CUST086,55,1,90.0,5,1,2,512,Regular Customers
CUST087,41,1,100.0,5,1,2,512,Regular Customers
CUST088,279,1,500.0,2,1,4,214,At Risk
CUST089,93,1,2000.0,4,1,5,415,Regular Customers
CUST090,241,1,30.0,2,1,1,211,At Risk
CUST091,283,1,500.0,2,1,4,214,At Risk
CUST092,130,1,120.0,4,1,3,413,Regular Customers
CUST093,172,1,2000.0,3,1,5,315,Regular Customers
CUST094,228,1,1000.0,2,1,4,214,At Risk
CUST095,39,1,60.0,5,1,2,512,Regular Customers
CUST096,14,1,600.0,5,1,4,514,Regular Customers
CUST097,81,1,1000.0,4,1,4,414,Regular Customers
CUST098,254,1,100.0,2,1,2,212,At Risk
CUST099,16,1,1200.0,5,1,5,515,Regular Customers
CUST100,200,1,30.0,3,1,1,311,Regular Customers
CUST1000,265,1,120.0,2,1,3,213,At Risk
CUST101,338,1,600.0,1,1,4,114,At Risk
CUST102,249,1,50.0,2,1,1,211,At Risk
CUST103,350,1,25.0,1,1,1,111,At Risk
CUST104,205,1,1000.0,3,1,4,314,Regular Customers
CUST105,161,1,500.0,3,1,4,314,Regular Customers
CUST106,229,1,50.0,2,1,1,211,At Risk
CUST107,333,1,1200.0,1,1,5,115,At Risk
CUST108,258,1,75.0,2,1,2,212,At Risk
CUST109,76,1,2000.0,4,1,5,415,Regular Customers
CUST110,205,1,900.0,3,1,4,314,Regular Customers
CUST111,258,1,1500.0,2,1,5,215,At Risk
CUST112,31,1,1500.0,5,1,5,515,Regular Customers
CUST113,111,1,50.0,4,1,1,411,Regular Customers
CUST114,164,1,100.0,3,1,2,312,Regular Customers
CUST115,37,1,1500.0,5,1,5,515,Regular Customers
CUST116,132,1,30.0,4,1,1,411,Regular Customers
CUST117,293,1,1000.0,1,1,4,114,At Risk
CUST118,231,1,2000.0,2,1,5,215,At Risk
CUST119,295,1,150.0,1,1,3,113,At Risk
CUST120,240,1,50.0,2,1,1,211,At Risk
CUST121,79,1,200.0,4,1,3,413,Regular Customers
CUST122,91,1,120.0,4,1,3,413,Regular Customers
CUST123,232,1,60.0,2,1,2,212,At Risk
CUST124,67,1,2000.0,5,1,5,515,Regular Customers
CUST125,147,1,100.0,4,1,2,412,Regular Customers
CUST126,68,1,90.0,5,1,2,512,Regular Customers
CUST127,162,1,50.0,3,1,1,311,Regular Customers
CUST128,181,1,500.0,3,1,4,314,Regular Customers
CUST129,254,1,600.0,2,1,4,214,At Risk
CUST130,296,1,500.0,1,1,4,114,At Risk
CUST131,106,1,600.0,4,1,4,414,Regular Customers
CUST132,114,1,200.0,4,1,3,413,Regular Customers
CUST133,320,1,900.0,1,1,4,114,At Risk
CUST134,342,1,50.0,1,1,1,111,At Risk
CUST135,310,1,50.0,1,1,1,111,At Risk
CUST136,288,1,600.0,2,1,4,214,At Risk
CUST137,45,1,1000.0,5,1,4,514,Regular Customers
CUST138,285,1,200.0,2,1,3,213,At Risk
CUST139,18,1,2000.0,5,1,5,515,Regular Customers
CUST140,150,1,30.0,3,1,1,311,Regular Customers
CUST141,61,1,50.0,5,1,1,511,Regular Customers
CUST142,334,1,1200.0,1,1,5,115,At Risk
CUST143,169,1,50.0,3,1,1,311,Regular Customers
CUST144,171,1,1500.0,3,1,5,315,Regular Customers
CUST145,61,1,75.0,5,1,2,512,Regular Customers
